"Nazwa","Cena","Popularność","RAM(GB)","GPU","Pamięć GPU(GB)","CPU","Taktowanie(GHz)","Rdzenie","Wątki","Przekątna","System","Indeks"
"HP Pavilion Gaming 17−cd1007nw (24C82EA)",4699.0,10,8,"NVIDIA GeForce GTX 1650 Ti",4,"Intel Core i5-10300H",2.5,4,8,17.3,"Brak",256
"Dell Vostro 5510 (N7500CVN5510EMEA01_2205)",4758.02,1,8,"Intel Iris Xe",0,"Intel Core i5-11320H",3.2,4,8,15.6,"Windows 10 Pro",257
"MSI Katana GF76 11UC-468XPL / 16 GB RAM / 1 TB SSD PCIe / Windows 10 Home",4799.0,6,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Windows 10 Home",258
"MSI Katana GF76 11UC-467XPL / 16 GB RAM / 512 GB SSD PCIe",4799.0,1,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,17.3,"Brak",259
"HP ENVY 14-eb0212nw (4P499EA)",4799.0,2,16,"Intel Iris Xe",0,"Intel Core i7-11370H",3.3,4,8,14.0,"Windows 11 Home",260
"Asus Expertbook B5 B5402C (B5402CEA-KC0187X)",4805.19,2,8,"Intel Iris Xe",0,"Intel Core i5-1155G7",2.5,4,8,14.0,"Windows 11 Pro",261
"MSI Katana GF76 11UC-468XPL / 32 GB RAM / 1 TB SSD PCIe / Windows 10 Home",4949.0,4,32,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Windows 10 Home",262
"MSI GF63 Thin 11UC-214XPL / 16 GB RAM / 512 GB SSD PCIe / 512 GB SSD / Windows 10 Home",4949.0,2,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Windows 10 Home",263
"MSI GF63 Thin 11UC-214XPL / 32 GB RAM / 512 GB SSD PCIe / 2 TB SSD",4999.0,2,32,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Brak",264
"HP EliteBook 840 G8 (358R4EA)",5060.99,3,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,14.0,"Windows 10 Pro",265
"Dell Vostro 3510 (N8012VN3510EMEA01_2201) / 16 GB RAM / 1 TB SSD PCIe / Windows 10 Pro",5049.0,1,16,"Intel Iris Xe",0,"Intel Core i7-1165G7",2.8,4,8,15.6,"Windows 10 Pro",266
"Dell Vostro 3510 (N8012VN3510EMEA01_2201) / 16 GB RAM / 512 GB SSD PCIe / 512 GB SSD / Windows 10 Pro",5049.0,1,16,"Intel Iris Xe",0,"Intel Core i7-1165G7",2.8,4,8,15.6,"Windows 10 Pro",267
"MSI Katana GF76 11UC-468XPL / 32 GB RAM / 1 TB SSD PCIe / Windows 10 Pro",5149.0,1,32,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Windows 10 Pro",268
"MSI GF63 Thin 11UC-214XPL / 32 GB RAM / 512 GB SSD PCIe / 512 GB SSD / Windows 10 Pro",5299.0,1,32,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Windows 10 Pro",269
"MSI GF63 Thin 11UC-214XPL / 32 GB RAM / 1 TB SSD PCIe / 1 TB SSD / Windows 10 Home",5399.0,1,32,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Windows 10 Home",270
"MSI GF63 Thin 11UC-214XPL / 64 GB RAM / 512 GB SSD PCIe / Windows 10 Pro",5599.0,1,64,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Windows 10 Pro",271
"Lenovo ThinkBook 16 G4+ i7-1255U / 16 GB / 512 GB / W11 Pro (21CY003MPB)",5728.63,1,16,"Intel Iris Xe",0,"Intel Core i7-1255U",1.2,10,12,16.0,"Windows 11 Pro",272
"MSI Katana GF76 11UE-245XPL / 16 GB RAM / 512 GB SSD PCIe / Windows 10 Home",6049.0,3,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-11800H",2.3,8,16,17.3,"Windows 10 Home",273
"Apple MacBook Air 13 M2 (MLXW3ZE/A)",6035.0,19,8,"Apple M2 (8 rdzeni)",0,"Apple M2",2.0,8,8,13.6,"macOS",274
"MSI Katana GF76 11UD-466XPL / 32 GB RAM / 512 GB SSD PCIe / Windows 10 Pro",6149.0,1,32,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,17.3,"Windows 10 Pro",275
"MSI Katana GF76 11UE-245XPL / 64 GB RAM / 2x 1TB SSD PCIe",6449.0,1,64,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-11800H",2.3,8,16,17.3,"Brak",276
"MSI Katana GF76 11UD-466XPL / 32 GB RAM / 2 TB SSD PCIe / Windows 10 Pro",6499.0,1,32,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,17.3,"Windows 10 Pro",277
"MSI GF63 Thin 11UC-214XPL / 64 GB RAM / 2 TB SSD PCIe / 2 TB SSD / Windows 10 Pro",6499.0,2,64,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Windows 10 Pro",278
"MSI Katana GF76 11UE-245XPL / 32 GB RAM / 1 TB SSD PCIe / Windows 10 Pro",6499.0,4,32,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-11800H",2.3,8,16,17.3,"Windows 10 Pro",279
"MSI Katana GF76 11UE-245XPL / 64 GB RAM / 1 TB + 512 GB SSD PCIe / Windows 10 Home",6849.0,1,64,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-11800H",2.3,8,16,17.3,"Windows 10 Home",280
"Microsoft Surface Pro 8 (8PR-00035)",6868.4,3,8,"Intel Iris Xe",0,"Intel Core i5-1145G7",2.6,4,8,13.0,"Windows 10 Pro",281
"Apple MacBook Air 13 M2 / 8 GB / 256 GB / macOS (MLXW3ZE/A/US)",5975.0,2,8,"Apple M2 (8 rdzeni)",0,"Apple M2",2.4,8,8,13.6,"macOS",282
"MSI Katana GF76 11UE-245XPL / 64 GB RAM / 2 TB SSD PCIe / Windows 10 Home",6999.0,2,64,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-11800H",2.3,8,16,17.3,"Windows 10 Home",283
"LG Gram 2w1 16 2022 (16T90Q-G.AA78Y)",7199.0,5,16,"Intel Iris Xe",0,"Intel Core i7-1260P",1.5,12,16,16.0,"Windows 11 Home",284
"HP ZBook Firefly16 G9 i7-1255U / 16 GB / 512 GB / W11 Pro / Quadro T500 (69Q79EA)",9285.67,1,16,"NVIDIA Quadro T550",4,"Intel Core i7-1255U",1.2,10,12,16.0,"Windows 11 Pro",285
"Apple MacBook Pro 16 (MK183ZE/A/US)",12785.99,1,16,"Apple M1",0,"Apple M1 Pro",3.2,10,10,16.2,"macOS",286
"Asus ProArt Studiobook 16 OLED (H7600HM-L2033X)",14060.0,2,64,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i9-11900H",2.5,8,16,16.0,"Windows 11 Pro",287
"Apple MacBook Pro 16 (MK183ZE/A/R1)",17270.99,2,32,"Apple M1",0,"Apple M1 Pro",3.2,10,10,16.2,"macOS",288
"Kruger&Matz Explore 1406 (KM1406)",991.7,3,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,14.1,"Windows 10 Pro",289
"HP 17-cn0009nw (4L236EA)",1899.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,17.3,"Windows 11 Home",290
"HP 17-cn0039nw (4L239EA) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Home",2899.0,10,16,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,17.3,"Windows 11 Home",291
"Asus VivoBook 15 X515EA (X515EA-BQ1445) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Home",2899.0,1,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Home",292
"Asus VivoBook 15 X515EA (X515EA-BQ1226W) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Home",3149.0,2,16,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Windows 11 Home",293
"HP Pavilion 15-cs3003nw (8UF09EA)",3299.0,1,8,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Home",294
"MSI GF63 Thin 11UD-213XPL / 16 GB RAM / 512 GB SSD PCIe",3699.0,14,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i5-11400H",2.2,6,12,15.6,"Brak",295
"Asus TUF Gaming F15 FX506LH (FX506LH-HN042)",3999.0,1,16,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-10300H",2.5,4,8,15.6,"Brak",296
"MSI GF63 Thin 11UD-213XPL / 32 GB RAM / 512 GB SSD PCIe / 512 GB SSD",3999.0,3,32,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i5-11400H",2.2,6,12,15.6,"Brak",297
"HP Pavilion Gaming 16-a0023nw (2C5W3EAR#AKD)",4299.0,1,16,"NVIDIA GeForce GTX 1650 Ti",4,"Intel Core i5-10300H",2.5,4,8,16.1,"Brak",298
"MSI Katana GF76 11UC-468XPL / 16 GB RAM / 2 TB SSD PCIe",4499.0,3,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Brak",299
"Acer Nitro 5 i5-11400H / 16 GB / 512 GB / W11 / RTX 3060 / 144 Hz (NH.QEWEP.004)",4676.99,6,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i5-11400H",2.7,6,12,15.6,"Windows 11 Home",300
"MSI Katana GF76 11UC-467XPL / 16 GB RAM / 1 TB SSD PCIe",4949.0,2,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,17.3,"Brak",301
"MSI Katana GF76 11UC-468XPL / 32 GB RAM / 512 GB SSD PCIe / Windows 10 Pro",4999.0,1,32,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Windows 10 Pro",302
"Dell Vostro 5625 (N1005VNB5625EMEA01) / 32 GB RAM / 512 GB SSD PCIe / Windows 11 Pro",5499.0,3,32,"AMD Radeon RX Vega 8",0,"AMD Ryzen 7 5825U",2.0,8,16,16.0,"Windows 11 Pro",303
"MSI Katana GF76 11UE-245XPL / 32 GB RAM / 2x 2TB SSD PCIe / Windows 10 Home",6949.0,1,32,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-11800H",2.3,8,16,17.3,"Windows 10 Home",304
"Asus VivoBook 15 X515EA (X515EA-BQ1445) / 16 GB RAM / 512 GB SSD PCIe / Windows 10 Home",2849.0,1,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 10 Home",305
"MSI GF63 Thin 11UC-214XPL / 16 GB RAM / 1 TB SSD PCIe",4399.0,1,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Brak",306
"HP 470 G8 (3S8S1EAR)",4999.0,3,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,17.3,"Windows 10 Pro",307
"HP Pavilion 14-dv0014nx (2N7Q2EAR)",2599.0,3,8,"NVIDIA GeForce MX350",2,"Intel Core i5-1135G7",2.4,4,8,14.0,"Windows 10 Home",308
"Lenovo IdeaPad 100-15IBD (80QQ01B3PB)",2992.0,1,4,"NVIDIA GeForce 920MX",2,"Intel Core i5-5200U",2.2,2,4,15.6,"Windows 10 Home",309
"HP Pavilion 14-dv0007nx (2N7P5EAR)",3398.0,1,16,"NVIDIA GeForce MX450",2,"Intel Core i7-1165G7",2.8,4,8,14.0,"Windows 10 Home",310
"Umax VisionBook 13Wr (UMM230132)",649.24,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,13.3,"Windows 10 Pro",311
"Umax VisionBook 14Wr (UMM230141)",649.24,6,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.1,"Windows 10 Pro",312
"Umax VisionBook 14Wr (UMM230143)",650.81,4,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.1,"Windows 10 Pro",313
"Umax VisionBook 12WRx (UMM230223)",741.95,2,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Windows 11 Pro",314
"Umax VisionBook 12WRx (UMM230220)",741.95,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Windows 11 Pro",315
"Umax VisionBook 12WRx (UMM230222)",741.95,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Windows 11 Pro",316
"Umax VisionBook 12WRx (UMM230221)",741.95,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Windows 11 Pro",317
"Techbite Arc 11.6 Celeron N4000 / 4 GB / 128 GB / W10 Pro",897.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Windows 10 Pro",318
"Umax VisionBook 14WRx (UMM230240)",927.39,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.1,"Windows 11 Pro",319
"Umax VisionBook 14WRx (UMM230241)",927.39,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.1,"Windows 11 Pro",320
"Umax VisionBook N14G Plus Hu (UMM230148)",927.39,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4100",1.1,4,4,14.1,"Windows 10 Pro",321
"Umax VisionBook 15Wr Plus (UMM230150)",927.39,4,4,"Intel UHD Graphics 600",0,"Intel Celeron N4120",1.1,4,4,15.6,"Windows 10 Pro",322
"Umax VisionBook N15R (UMM230151)",964.47,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,15.6,"Windows 11 Pro",323
"Lenovo 300e Chromebook (81QC0004MH)",999.0,1,4,"Imagination PowerVR GX6250",0,"Mediatek MT8173C",2.4,4,4,11.6,"Chrome OS",324
"Gateway/Acer GWTN116 (GWTN116-3BK)",999.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Windows 10 Home",325
"Gateway/Acer Gateway GWTN116 (GWTN116-3RD)",999.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Windows 10 Home",326
"Asus Chromebook CX1 (CB1101CMA-GJ0021)",1008.59,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4120",1.1,4,4,11.6,"Chrome OS",327
"Umax VisionBook 14Wj (UMM230149)",1020.11,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4500",1.1,2,2,14.1,"Windows 11 Pro",328
"Umax VisionBook N15G Plus Hu (UMM230154)",1020.11,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4100",1.1,4,4,15.6,"Windows 10 Pro",329
"Umax VisionBook N15R Pro (UMM230156)",1020.11,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4120",1.1,4,4,15.6,"Windows 10 Pro",330
"Umax VisionBook 14WQ LTE (UMM230242)",1112.87,1,4,"Qualcomm Adreno 618",0,"Qualcomm Snapdragon 7c",1.8,8,8,14.1,"Windows 11 Pro",331
"Umax VisionBook 15Wj (UMM230158)",1112.87,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4500",1.1,2,2,15.6,"Windows 11 Pro",332
"Umax VisionBook 12Wr Tab (UMM220T22)",1182.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Windows 10 Pro",333
"Kruger&Matz Ultrabook Explore 1405.2 Celeron N4020 / 4 GB / 128 GB / W11 (KM1405.2-G)",1166.55,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.1,"Windows 11 Home",334
"Acer Chromebook CP311 (NX.ATYEL.002)",1196.06,0,8,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,11.6,"Chrome OS",335
"HP Chromebook 11A G6 (6HL33EAR)",1199.0,0,4,"AMD Radeon R2",0,"AMD A4-9120",2.2,2,2,11.6,"Chrome OS",336
"HP Chromebook 14a-na0020nr (9PG29UA)",1199.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,14.0,"Chrome OS",337
"Lenovo Chromebook S330 (81JW0008MH)",1201.9,1,4,"Imagination PowerVR GX6250",0,"Mediatek MT8173C",2.1,4,4,14.0,"Chrome OS",338
"Umax VisionBook 14Wg Flex (UMM220V14)",1205.59,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4100",1.1,4,4,14.1,"Windows 10 Pro",339
"Asus L406NA (L406NA-WH02DX)",1222.38,0,4,"Intel HD Graphics 500",0,"Intel Celeron N3350",1.1,2,2,14.0,"Windows 10 S",340
"Gateway/Acer GWTN156 (GWTN156-11BK)",1249.0,2,4,"Intel UHD Graphics 605",0,"Intel Pentium N5030",1.1,4,4,15.6,"Windows 10 Home",341
"Asus X515MA (X515MA-BR037)",1273.36,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,15.6,"Brak",342
"Lenovo IdeaPad 3 15IGL05 Celeron N4020 / 4 GB / 256 GB (81WQ0041RM)",1275.8,2,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,15.6,"Brak",343
"Asus E410MA-EK1990WS Celeron N4020 / 4 GB / 128 GB / W11 S (90NB0Q12-M00PY0) +Office Personal 1 rok",1279.0,2,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.0,"Windows 11 S",344
"Umax VisionBook 13Wr Flex (UMM220V30)",1298.31,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,13.3,"Windows 10 Pro",345
"HP Chromebook 14a-na0007na (2R171EAR)",1299.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,14.0,"Chrome OS",346
"Acer Extensa EX215-32 (NX.EGNEP.005)",1299.97,1,4,"Intel UHD Graphics 620",0,"Intel Celeron N5100",1.1,4,4,15.6,"Brak",347
"Asus ChromeBook CX1 Celeron N3350 / 8 GB / 64 GB / ChromeOS (CX1500CNA-BR0092)",1311.1,1,8,"Intel HD Graphics 500",0,"Intel Celeron N3350",1.1,2,2,15.6,"Chrome OS",348
"Asus VivoBook 14 X415MA (X415MA-EK595WS)",1339.0,8,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.0,"Windows 11 S",349
"Umax VisionBook 14Wr Flex (UMM220V40)",1391.02,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4120",1.1,4,4,14.1,"Windows 10 Pro",350
"HP 14s-fq0005ne (HP 14s-fq0005ne)",1398.0,0,4,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3250U",2.6,2,4,14.0,"Windows 10 Home",351
"Asus L410M (L410MA-EK489TS)",1399.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,4,14.0,"Windows 10 S",352
"HP Stream 11-ak0012dx (16V16UA)",1399.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,11.6,"Windows 10 S",353
"Asus E410MA (E410MA-EB268)",1399.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.0,"Brak",354
"Asus E410MA (E410MA-EK016)",1399.0,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.0,"Brak",355
"Asus E410MA (E410MA-EK1323WS)",1399.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.0,"Windows 11 S",356
"Asus E410MA (E410MA-EK1828W)",1372.79,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.0,"Windows 11 Home",357
"Acer Notebook Aspire 3 A315-34-C6K4 WIN11SH/CELERON N4020/8GB/128SSD/UMA/15.6",1450.0,2,8,"Intel HD 5500",0,"Intel Celeron N4020",1.1,2,2,15.6,"Windows 11 Home",358
"Asus ExpertBook B1 B1400 Pentium Gold 7505 / 4 GB / 256 GB / W11 (B1400CEAE-EK6564WS)",1481.2,3,4,"Intel UHD Graphics Xe G4",0,"Intel Pentium Gold 7505",2.0,2,4,14.0,"Windows 11 Pro",359
"Umax VisionBook 15WU-i3 (UMM230155)",1483.74,0,4,"Intel UHD Graphics 620",0,"Intel Core i3-10110U",2.1,2,4,15.6,"Windows 10 S",360
"HP Chromebook x360 11-ae100nd (5AT78EAR)",1499.0,0,4,"Intel HD Graphics 500",0,"Intel Celeron N3350",1.1,2,2,11.6,"Chrome OS",361
"Lenovo Ideapad S145-15AST (81N30038FR)",1499.0,1,4,"AMD Radeon R5",0,"AMD A9-9425",3.1,2,2,15.6,"Windows 10 Home",362
"Acer Gateway GWTN156-11BK",1499.0,0,4,"Intel UHD Graphics 605",0,"Intel Pentium N5030",1.1,4,4,15.6,"Windows 10 S",363
"HP 14-dk0030ca (6GH49UA)",1499.0,0,4,"AMD Radeon R3",0,"AMD A4-9125",2.3,2,2,14.0,"Windows 10 Home",364
"Lenovo IdeaPad 1 14ADA05 (82GW0042PB)",1517.99,1,4,"AMD Radeon RX Vega 3",0,"AMD 3020e",1.2,2,2,14.0,"Windows 10 S",365
"Asus Vivobook E410MA (E410MA-EK316T)",1534.0,1,4,"Intel UHD Graphics 605",0,"Intel Pentium N5030",1.1,4,4,14.0,"Windows 10 S",366
"Acer Aspire 1 A114-32 (NX.GVZEP.03B)",1554.0,4,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.0,"Windows 10 S",367
"Lenovo V15-IGL",1479.0,7,8,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,15.6,"Windows 10 Home",368
"Asus E410MA (E410MA-EK954TS)",1583.01,1,4,"Intel UHD Graphics 605",0,"Intel Pentium N5030",1.1,4,4,14.0,"Windows 10 Home",369
"HP Chromebook x360 12b-ca0010nd (8AS81EAR)",1599.0,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,12.0,"Chrome OS",370
"HP 14-dk0042nw (1N8D5EA)",1599.0,1,4,"AMD Radeon R4",0,"AMD A6-9225",2.6,2,2,14.0,"Windows 10 Home",371
"Asus VivoBook 15 X509 (X509FA-EJ251)",1599.0,1,4,"Intel UHD Graphics 620",0,"Intel Core i3-8145U",2.1,2,4,15.6,"Brak",372
"Asus VivoBook 15 X509 (X509FA-EJ076)",1599.0,0,4,"Intel UHD Graphics 620",0,"Intel Core i3-8145U",2.1,2,4,15.6,"Brak",373
"Lenovo Chromebook S345-14AST (81WX0009MH)",1599.0,0,4,"AMD Radeon R5",0,"AMD A6-9220C",1.8,2,2,14.0,"Chrome OS",374
"Lenovo IdeaPad 3 15IIL05 REPACK (81WE0016US)",1599.0,1,4,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Windows 10 S",375
"Asus VivoBook X505BA (X505BA-BR045T)",1599.0,2,4,"AMD Radeon R5",0,"AMD A9-9420",3.0,2,2,15.6,"Windows 10 Home",376
"Asus ASUS VivoBook 15 X509MA-BR239T 90NB0Q31-M04890",1599.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,15.6,"Windows 10 Home",377
"HP 15-dw3017nt (2N2R4EA)",1599.0,1,4,"Intel Iris Xe",0,"Intel Core i3-1115G4",1.7,2,4,15.6,"Brak",378
"HP Stream 14-cb172wm (9VK98UAR)",1599.0,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,14.0,"Windows 10 Home",379
"Asus Vivobook E410MA (E410MA-EK316T)",1534.0,1,4,"Intel UHD Graphics 605",0,"Intel Pentium N5030",1.1,4,4,14.0,"Windows 10 S",380
"Acer Aspire 1 A114-32 (NX.GVZEP.03B)",1554.0,4,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,14.0,"Windows 10 S",381
"Lenovo V15-IGL",1479.0,7,8,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,15.6,"Windows 10 Home",382
"Asus E410MA (E410MA-EK954TS)",1583.01,1,4,"Intel UHD Graphics 605",0,"Intel Pentium N5030",1.1,4,4,14.0,"Windows 10 Home",383
"HP Chromebook x360 12b-ca0010nd (8AS81EAR)",1599.0,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,12.0,"Chrome OS",384
"HP 14-dk0042nw (1N8D5EA)",1599.0,1,4,"AMD Radeon R4",0,"AMD A6-9225",2.6,2,2,14.0,"Windows 10 Home",385
"Asus VivoBook 15 X509 (X509FA-EJ251)",1599.0,1,4,"Intel UHD Graphics 620",0,"Intel Core i3-8145U",2.1,2,4,15.6,"Brak",386
"Asus VivoBook 15 X509 (X509FA-EJ076)",1599.0,0,4,"Intel UHD Graphics 620",0,"Intel Core i3-8145U",2.1,2,4,15.6,"Brak",387
"Lenovo Chromebook S345-14AST (81WX0009MH)",1599.0,0,4,"AMD Radeon R5",0,"AMD A6-9220C",1.8,2,2,14.0,"Chrome OS",388
"Lenovo IdeaPad 3 15IIL05 REPACK (81WE0016US)",1599.0,1,4,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Windows 10 S",389
"Asus VivoBook X505BA (X505BA-BR045T)",1599.0,2,4,"AMD Radeon R5",0,"AMD A9-9420",3.0,2,2,15.6,"Windows 10 Home",390
"Asus ASUS VivoBook 15 X509MA-BR239T 90NB0Q31-M04890",1599.0,1,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,15.6,"Windows 10 Home",391
"HP 15-dw3017nt (2N2R4EA)",1599.0,1,4,"Intel Iris Xe",0,"Intel Core i3-1115G4",1.7,2,4,15.6,"Brak",392
"HP Stream 14-cb172wm (9VK98UAR)",1599.0,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,14.0,"Windows 10 Home",393
"Maxcom mBook (MBOOK14DARKGRAY)",1624.91,1,8,"Intel UHD Graphics 600",0,"Intel Celeron J4125",2.7,4,4,14.0,"Windows 10 Home",394
"Maxcom mBook (MBOOK14LIGHTGRAY)",1624.91,2,8,"Intel UHD Graphics 600",0,"Intel Celeron J4125",2.7,4,4,14.0,"Windows 10 Home",395
"Acer Swift 1 SF114-32 (NX.GXHEP.007)",1637.0,0,4,"Intel UHD Graphics 600",0,"Intel Celeron N4000",1.1,2,2,14.0,"Windows 10 Home",396
"Maxcom mBook 14 Różowy",1649.99,1,8,"Intel UHD Graphics 600",0,"Intel Celeron J4125",2.0,4,4,14.0,"Windows 10 Home",397
"Lenovo IdeaPad 100-14IBY (80MH0072PB)",1653.0,0,2,"Intel HD Graphics",0,"Intel Celeron N2840",2.16,2,2,14.0,"Brak",398
"Acer Extensa 15 EX215-54 (NX.EGJEP.001)",1696.59,7,8,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Brak",399
"Asus VivoBook 15 X509 (X509JA-EJ005)",1699.0,0,4,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Brak",400
